Ref. No,Product Details,Tender Location,Industry,Closing Date,Opening Date,Tender Value,Tender Fees
43408511,Supply of food items to bcw hostels in mundargi taluk,Karnataka - India,Corporations/ Assoc/ Chambers/ Govt Agencies - Non-financial Services,20/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43783380,Supply of diet items and bread to general hospital sorab for the year 2021-22,Karnataka - India,Health Services/Equipments - Non-financial Services,21/05/2021 at 00:00 Hrs.,24/05/2021 at 00:00 Hrs.,,550
43830723,"Supply of food, vegetable and other necessary materials for prisoners in sub jail. ",Chhattisgarh - India,Security Services - Non-financial Services,22/05/2021 at 00:00 Hrs.,22/05/2021 at 00:00 Hrs.,,1000
43813016,"Auction sale of scrap e-waste, scrap air conditioners, scrap compresser for air conditioners, scrap water cooler/water dispenser, scrap geyser/water heater, scrap tubelight flourescent 40w, (printer cartridge-112 no, scrap projector-01 no, scrap photocopier-03 no, scrap telephone instrument/receiver -01 no, scrap lead-50 kg, digitel camera-04 no, scrap server-27 no, scrap key board-260 no, blade centre-02 no, token display system set-04 no, attendance machine-07 no, set top box-03 no, telephone-12 no, epbx-02 no, scrap vaccum-01 no, micorowave-02 no, scrap television-6 no, scrap cpu-132 no, scrap monitor-77 no, scrap tft monitor-03 no, scrap laptop-44 no, scrap printer-29 no.",Delhi - India,Other Metal Products - Iron and Steel,8/05/2021 at 00:00 Hrs.,8/05/2021 at 00:00 Hrs.,,
43800255,Supply of food to patients and his/her attendant (1),Uttar Pradesh - India,Education And Research Institute - Non-financial Services,8/05/2021 at 00:00 Hrs.,10/05/2021 at 14:00 Hrs.,,8900
43835853,Supply of packaged drinking water service,Multi State - India,Administrative Offices - Financial Services,7/05/2021 at 00:00 Hrs.,7/05/2021 at 16:00 Hrs.,,
43808075,Supply of aerated water.,Madhya Pradesh - India,Security Services - Non-financial Services,7/05/2021 at 00:00 Hrs.,7/05/2021 at 00:05 Hrs.,,
43727614,Sale of any typ cooler and water cooler scrap (coolers parts and some parts missing with other all tin 1.8 mt at area store,Madhya Pradesh - India,Power Plant - Power Plant,5/05/2021 at 00:00 Hrs.,5/05/2021 at 00:00 Hrs.,,
43709653,"Sale of water purifier, cooler, photo copy machine, duplo/ duplicator, PA system, speakers, musical item. ",Uttaranchal - India,Education And Research Institute - Non-financial Services,5/05/2021 at 00:00 Hrs.,5/05/2021 at 00:00 Hrs.,,
43664342,"Supply of food items, first grade bread for patients.",Karnataka - India,Health Services/Equipments - Non-financial Services,4/05/2021 at 00:00 Hrs.,4/05/2021 at 00:00 Hrs.,,
43664252,Virar - surat section- sse(w)bl - supply of potable drinking water by tankers to overcome the summer shortfall (03 months) 2021.,Maharashtra - India,Railways Transport Services - Transport Services         ,4/05/2021 at 00:00 Hrs.,4/05/2021 at 15:00 Hrs.,2877800,
Ref. No,Product Details,Tender Location,Industry,Closing Date,Opening Date,Tender Value,Tender Fees
35543451,"Registration of vendors for constructs, works and services for integrated facility management, management of holiday homes & transit flat, canteen services, vehicle hiring services, housekeeping services, pest control services, photocopy services, courier services, architectural consultancy services, electrical consultancy service  , hvac consultancy services, structural consultancy services, civil & structural works, water proofing work, painting works, lt electrical works / ht electrical works, electrical work, interor / carpentry work, soft furnishing works (curtains, linen, upholstery, blinds, etc). plumbing and sanitation works, fire protection system works, access control system / cctv system / building management solutions. hvac works, telephoen / epabx works, event management services, hiring of audio visual equipment / sound system for meeting / events, printing works of banner / backdrop / standees / siganages / boards etc, epabc and telephone systems, fire safety audits, electrical safety and energy conservation audits, repair and maintenance of air conditioning units, providing manpower services, photography and videography services. ",Uttar Pradesh - India,Crude Oil / Natural Gas / Mineral Fuels - Mining and Quarrying         ,6/07/2024 at 00:00 Hrs.,6/07/2024 at 00:00 Hrs.,,
