Tender Title,Description,Location,Opening Date,Closing Date,Tender Amount,Tender Link
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,41/Wheat purchase/2021-22 - Handling And Transportation Work Of Wheat Purchase Centre Of Maharajhanj Upmandi(raebareli),"Raebareli, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-c225468b-827e-4d49-9109-715543da9afe?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,25/wheat/hand/trans/2021-22 - Nigam Ke Gehu Kray Kendra Aliganj Se Bhartiya Khadya Nigam Ke Dipot Tak Khadyan Ke Parivahan Va Handling Ka Karya,"Lakhimpur Kheri, Uttar Pradesh",23 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-c882c343-a317-482c-8d7f-0e9d77f2e20a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1188871 - Deltamethrin 2.5% Wp As Per Is:13457,"Tiruchirappalli, Tamil Nadu",24 Apr 2021,10 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-da5066db-4457-4662-9504-5710dc64f014?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1171196 - Animal Control Traps-- Mouse Trap,"Chennai, Tamil Nadu",20 Apr 2021,11 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-de5e1822-8151-4668-adc6-95122298c4c9?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Belsar (first) In Gonda,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-ecaf4124-7998-42fb-935f-81bc6afd6b60?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,"GEM/2021/RA/74981 - Rechargeable Smf Lead Acid Battery,lead Acid Starter Batteries","Kannur, Kerala",22 Apr 2021,07 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-e4288ebe-0cd9-49c5-9767-c17661f02a7a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1183869 - Monthly Basis Cab & Taxi Hiring Services - Sedan; 3000 Km X 364 Hours; Local 24*7,"Tuticorin, Tamil Nadu",21 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-57b6bc94-976e-4b20-980f-32ed7d964a1e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,52/Wheat purchase/2021-22 - Handling And Transportation Work Of Wheat Purchase Centre Of Tilhar Mandi(shahjahanpur),"Shahjahanpur, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-5cfd8753-a2f1-4a96-b43d-1f66f0643c3c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Shivpur In Bahraich,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-5df148a3-3c93-4e51-a453-6bf5213f759d?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1186054 - Television Tv,"Mohali, Punjab",23 Apr 2021,04 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-7bcb69bc-91e8-4913-ba97-716633b05e49?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,"GEM/2021/B/1181673 - Leasing Service Of Dg-set,leasing Service Of Dg-set","Darjeeling, West Bengal",20 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-3a03f68b-59fa-49b7-9dca-6b27c291a34e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1181774 - Custom Bid For Services - Courier Service For Samples,"Ahmedabad, Gujarat",21 Apr 2021,12 May 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-3c421110-16ce-42c8-aebf-76f1bae5c3db?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,52/Wheat purchase/2021-22 - Handling And Transportation Work Of Wheat Purchase Centre Of Raghunarthpur(shahjahanpur),"Shahjahanpur, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-389657fd-f835-4bd2-b195-56f7d2980c0e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,41/Wheat purchase/2021-22 - Handling And Transportation Work Of Wheat Purchase Centre Of Amava(raebareli),"Raebareli, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-2b7b113e-e26b-4f89-8c13-369ecf87667e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Jarwal In Bahraich,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-35de9bbe-39ea-4893-95a0-44d791f5cbd6?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Paraspur (first) In Gonda,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-9bdce41e-2124-4af4-8d64-416687dd006b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,41/Wheat purchase/2021-22 - Handling And Transportation Work Of Wheat Purchase Centre Of Salone(raebareli),"Raebareli, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-99fbb44e-5d73-45d2-a3b1-1646465ccd0d?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Uttar Pradesh State Food And Essential Commodities Corporation Limited Tender,31/WHEATPURCHASE/2021-22 - Handling Work /transport Work For Wheat Purchase Center Safipur Unnao,"Unnao, Uttar Pradesh",24 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/uttar-pradesh-state-food-and-essential-commodities-corporation-limited/detail-01876913-716d-4d5c-87eb-e34f5b264bcc?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,GEM/2021/B/1164004 - Linear Low-density Polyethylene(lldpe) Film,"Faridkot, Punjab",08 Apr 2021,28 Apr 2021,₹ 1.9 Cr,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-b2eb03c0-6f6e-4b41-8399-577841244756?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Belsar (second) In Gonda,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-d8599893-be26-45a4-a42b-5026ecc1fa52?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,166/16.04.2021 - Transport Work For Wheat Purchase Center At Navabganj Mandi (second) In Gonda,"Gonda, Uttar Pradesh",17 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-d058a40d-d52f-460b-a36d-223c476a3989?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ministry Of Consumer Affairs Food And Public Distribution Tender,"GEM/2021/B/1165126 - Annual Maintenance Service - Photocopier Machine - Photocopier Machines ( Monochrome , Laser , Sepa","Delhi, Delhi",09 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/ministry-of-consumer-affairs-food-and-public-distribution/detail-ea60195e-522c-4e77-824d-70c2114f01fc?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Food Civil Supplies And Consumer Affairs - FCSCA Tender,3955 WHEAT PURCHASE HANDLING BALDEO - Wheat Purchase Handling Baldeo,"Mathura, Uttar Pradesh",23 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-food-civil-supplies-and-consumer-affairs/detail-fe4833fe-728f-452e-ad2b-1df9fa3112e0?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Govt of Tripura Department of Food Civil Supplies and Consumer Affairs Tripura Tender,2021_GoTR_140 - Eauction For 03 Nos Of Condemned Departmental Heavy Vehicleseauction For 03 Nos Of Condemned Departmental Heavy Vehicles,Tripura,20 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/govt-of-tripura-department-of-food-civil-supplies-and-consumer-affairs-tripura/detail-20ec829e-7244-4113-8941-4aa6a48ca491?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
LAHDC Kargil Deputy Commissioner CEO LAHDC Kargil Kargil Development Agency Kargil Tender,E Tender/Outsourcing/01 of KDA 2021-22 - Outsourcing And Running Of The Following Assets Created By Tourism Development Authority Kargil,"Kargil, Jammu & Kashmir",08 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/lahdc-kargil-deputy-commissioner-ceo-lahdc-kargil-kargil-development-agency-kargil/detail-af078a8f-c139-477c-871e-00583c049255?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Tourism Tender,JKTDC/GMO/67-73 - Outsourcing Of Properties,"Srinagar, Jammu & Kashmir",07 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-tourism/detail-ef7fa12e-9984-4578-9d5b-6a161f971007?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Medical Education And Research Tender,"A-1/PB/2020/81 - Supply Of Furniture For Medical College, Patiala","Patiala, Punjab",27 Oct 2020,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-medical-education-and-research/detail-971f7fa7-d158-479f-a2d6-442827fa1c74?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Maharashtra State Road Transport Corporation - MSRTC Tender,CE/MSRTC/AKL/1-2021/3 - Cantine At Mangrulpir Bus Stand,"Washim, Maharashtra",31 Mar 2021,17 May 2021,Refer Documents,https://bidassist.com/all-tenders/maharashtra-state-road-transport-corporation/detail-b6b7ad1a-5896-47c8-aab8-78d5fa89f659?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate General Defence Estates - DGDE Tender,CBA-2/Mobile Tower/C-Land/2021-22 - Tender For Lease Of Defence Land For Static Towers For Access Service Licensees/ip1 Companies-4th Call,"Amritsar, Punjab",16 Apr 2021,14 May 2021,Refer Documents,https://bidassist.com/all-tenders/directorate-general-defence-estates/detail-4e000125-2c75-468d-b2de-c63cbd3150cb?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Karnataka Cluster Tender,KC/2021-22/BD/WORK_INDENT5 - Construction Of Common Facility Centre Building At Gadag,"Bengaluru, Karnataka",02 Apr 2021,02 May 2021,₹ 3.9 Cr,https://bidassist.com/all-tenders/karnataka-cluster/detail-3ec367a4-9c19-47b5-b144-21099ff63599?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Vijayawada Municipal Corporation - VMC Tender,"Rc.E6-103792/2020 - Maintenance Of Gandhi Hill Park In One Town Area For Period Of 3months I.e., From 01.01.2021 To 31.03.2021 In Circle-i Area",Andhra Pradesh,24 Apr 2021,04 May 2021,₹ 2.4 Lac,https://bidassist.com/all-tenders/vijayawada-municipal-corporation/detail-3af9910d-88b8-4371-89d5-838200ce9b30?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Oil Corporation Limited - IOCL Tender,"IOAOD/AGARTALA/PT/2021-22/01 - Contract For Operations And Maintenance Of Pmcc, Dg Sets, Fire Pump House And Associated Panel/equipments And Other Electrical Works At Lpg Bottling Plant, Bodhjungnagar, Agartala, Tripura","West Tripura, Tripura",13 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/indian-oil-corporation-limited/detail-2fbe9c56-50a3-48ea-b65d-22a993abaef2?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Oil Corporation Limited - IOCL Tender,IOC/BMT/ELE AND FE/LT/2021-24 - Annual Contract For Operation And Maintenance Of Electrical Systems And Fire Engines At Barauni Terminal,"Begusarai, Bihar",27 Apr 2021,04 May 2021,Refer Documents,https://bidassist.com/all-tenders/indian-oil-corporation-limited/detail-743f9974-0b17-4b0d-9864-569d9adb0ec3?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Central Board Of Indirect Taxes And Customs - CBIC Tender,02/2021_I/22/02/2020-ADMN - Housekeeping Services As Mentioned In Notice Inviting Tender,"Vellore, Tamil Nadu",19 Apr 2021,07 May 2021,Refer Documents,https://bidassist.com/all-tenders/central-board-of-indirect-taxes-and-customs/detail-991d2f2c-c4fe-4b88-869c-7bd457e4671f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Maharashtra Energy Development Agency - MEDA Tender,"MEDA-Amt/Energy Park/Ytl/9/2020-21 - Survey, Design, Fabrication, Supply, Installation, Testing, Commissioning Of Various Renewable Energy Plants, Equipments And Devices In Energy Park Alongwith Cmc For 05 Yrs. At Gut 48 ,vadgaon (jamb), Tal And Dist. Yavatmal,","Yavatmal, Maharashtra",31 Mar 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/maharashtra-energy-development-agency/detail-d01176e7-018c-4286-918c-91dc211f31d4?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Western Coalfields Limited - WCL Tender,"WCL-wa4350-civ-e004-2021-22/48 - Providing Assistance To Cooking Process, Including Washing Of Utensils, Cleaning Of Floor, Toilets And Surrounding Area Of Transit Hostel At Penganga Ocp Of Wani Area.","Chandrapur, Maharashtra",24 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/western-coalfields-limited/detail-99c12405-fc69-4b42-96f3-3f2475beaf6c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
India Tourism Development Corporation Limited - ITDC Tender,"MMD/FS/PACKAGEDWATER/2020 - Annual Rate Contract For The Supply Of Packaged Drinking Water For Ashok Hotel, New Delhi","Delhi, Delhi",13 Apr 2021,05 May 2021,Refer Documents,https://bidassist.com/all-tenders/india-tourism-development-corporation-limited/detail-de1e6472-790b-4be6-a4ee-2b5c24f0425e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Shri Mata Vaishno Devi Shrine Board - SMVDSB Tender,"CO/Pur/NE/316/29 dt 03.04.2021 - E-tenders Under Two Bids System Are Invited From The Reputed Professional Manufacturers Or Authorized Suppliers Dealing In Supply Of Paper Cups Along With 10 Samples Each To Smvdsb, Katra For A Period Of One Year For Non Engg. Store Banganga, Katra","Udhampur, Jammu & Kashmir",03 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/shri-mata-vaishno-devi-shrine-board/detail-7db62d91-bc4d-45e2-8ec1-65b4543b230b?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Military Engineer Services - MES Tender,83084E8 - Provn Of Spill Containment Pallet Trestles For Stocking Of Tpm At 367 Cpy Asc(sup) Type D At Panitola Under Ge Dinjan,"Tinsukia, Assam",22 Apr 2021,11 May 2021,₹ 14.8 Lac,https://bidassist.com/all-tenders/military-engineer-services/detail-eca6b3c3-f87c-4cef-ad07-504ebce156aa?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Municipal Administration - DMA Tender,BMC/GA/2021/01 - Setting Up And Maintaining Covid Care Centre In The Area Of Bhusawal Municipal Council,"Jalgaon, Maharashtra",24 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/directorate-of-municipal-administration/detail-1ec2d9a1-45a0-43d2-8394-e0c330a1fdeb?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Municipal Administration Department Tender,E1/Nit-1/1/2021-22 Dt: 26.04.2021 - Supply & Delivery Of Gate Valves Maintenance Of Water Supply In Narsampet Municipality,Telangana,27 Apr 2021,30 Apr 2021,₹ 4.3 Lac,https://bidassist.com/all-tenders/municipal-administration-department/detail-9419802d-ffa7-4fd9-bfe3-956c3b06a0de?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Kerala Irrigation Infrastructure Development Corporation Limited - KIIDC Tender,KIIDC / Retender /369-1/ 2021-22 - Supply Of Bottle Caps For Drinking Water Bottle Plant,"Idukki, Kerala",03 Apr 2021,07 May 2021,₹ 67.5 Lac,https://bidassist.com/all-tenders/kerala-irrigation-infrastructure-development-corporation-limited/detail-22fe329a-a8a5-4d06-a930-47e6cc708a29?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Greater Visakhapatnam Municipal Corporation - GVMC Tender,"04/2021-22/EE-II(WSM)/DB/dt.17-04-2021(Item No.08) - Replacement Of Worn Out Ci And Di Sluice, Air And Non-return Valves With New Valves To Control Wastage Of Water At Various Locations In 40, 58 To 63 New Wards Of Ae-21 Section (water Supply) Under Annual Maintenance For The Year 2021-22","Visakhapatnam, Andhra Pradesh",17 Apr 2021,03 May 2021,₹ 17.4 Lac,https://bidassist.com/all-tenders/greater-visakhapatnam-municipal-corporation/detail-f863cdff-c477-40d6-9a34-a49aa6e4b0b7?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Directorate Of Urban Local Bodies - DULB Tender,"1 - Project- Interior Fit-out For Office Building Of Mck ,base 11-16,sector-12, Karnal,haryana","Karnal, Haryana",17 Apr 2021,05 May 2021,₹ 1.6 Cr,https://bidassist.com/all-tenders/directorate-of-urban-local-bodies/detail-ce88d35d-dc9b-44da-a7da-7570d10401b8?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Rashtriya Chemicals And Fertilizers Limited - RCF Tender,ETIESTR2103593 - Kindly Submit All The Documents As Per Mentioned In The Nit,"Mumbai, Maharashtra",22 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/rashtriya-chemicals-and-fertilizers-limited/detail-0aa21074-eca1-464a-8834-31498f17f8ed?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Rajasthan State Agricultural Marketing Board - RSAMB Tender,RSAMB/Div Kota/NIT-12/2020-21 - Supply Of Furniture At Coe Bundi,"Kota, Rajasthan",02 Apr 2021,04 May 2021,₹ 21.2 Lac,https://bidassist.com/all-tenders/rajasthan-state-agricultural-marketing-board/detail-4b17d302-05eb-48ef-afce-8659e0329691?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Animal Husbandry Dairying And Fisheries - DADF Tender,"36/P-5/LEKHA/BHUSA PATTRAVALI/ 2021-22 - Supply Of Bhoosa, Chokar, Chuni In Different Location Of Banda District In Case Of Daiveey Aapda And Sthayi/asthayi Pashu Aashray Sthalon Par Sanrakshit Govansho Ki Udar Purti Hetu","Banda, Uttar Pradesh",09 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-animal-husbandry-dairying-and-fisheries/detail-9c677933-3d15-4b4c-80ac-8afcb4d5812e?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,409/ST-4 - Supply Of Edible Oil,"Kathua, Jammu & Kashmir",21 Apr 2021,28 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-248fe312-2130-44a3-998e-6af3bd23e5af?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,409/ST-4 - Supply Of Edible Oil,"Kathua, Jammu & Kashmir",23 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-989371f0-f2d5-4adf-b2f7-2fc8ea72045d?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,212/LP/ST-4(EDIBLE OIL) - Lp Of Edible Oil(refined Sunflower Oil/refined Mustard Oil/refined Ground Nut Oil),"North 24 Parganas, West Bengal",23 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-bd950fe0-5ab7-4143-832e-fa0b3de91145?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,5510/LP/Edible Oil/17/2021-22/ST-4 - Local Purchase Of Edible Oil For Consumption Period 07 May 21 To 09 May 21,"Jodhpur, Rajasthan",22 Apr 2021,29 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-9da27434-ab0d-4829-a689-83b65014061c?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,5510/LP/Edible Oil/21/2021-22/ST-4 - Local Purchase Of Edible Oil For Consumption Period 19 May 21 To 21 May 21,"Jodhpur, Rajasthan",24 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-08a49f2a-9d07-4bad-af4c-78edeaa1da25?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Indian Army - OSCC Tender,5510/LP/Edible Oil/19/2021-22/ST-4 - Local Purchase Of Edible Oil For Consumption Period 16 May 21 To 18 May 21,"Jodhpur, Rajasthan",23 Apr 2021,01 May 2021,Refer Documents,https://bidassist.com/all-tenders/indian-army/detail-874124eb-1a4b-4c2e-a4a6-0274bd848f4a?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Department Of Agricultural Research And Education - DARE Tender,2-1/(08)/2021-22/SP - Annual Rate Contract For Supply Of Liquid Co2 Gas,"K.V.Rangareddy, Telangana",24 Apr 2021,15 May 2021,Refer Documents,https://bidassist.com/all-tenders/department-of-agricultural-research-and-education/detail-b252df18-c55e-4c6f-9430-1c157393c86d?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Rural Development Department - RDD Tender,"E.I.C.(B)-19/2020-21 - Infrastructure Development Of Maa Tara Tarini Pitha In The District Of Ganjam, (phase-iii) Under Integrated Development Of Heritage And Monuments And Tourist Destination","Ganjam, Odisha",13 Apr 2021,03 May 2021,Refer Documents,https://bidassist.com/all-tenders/rural-development-department/detail-edf664b3-0504-4b8f-bb96-5229e8a6d979?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Ulhasnagar Municipal Corporation - UMC Tender,"UMC/MHD/67/2020-21 - Dog Sterilization, Immunization And Treatment Of Disease Dog Tender (abc Program)",Maharashtra,15 Apr 2021,29 Apr 2021,₹ 25 Lac,https://bidassist.com/all-tenders/ulhasnagar-municipal-corporation/detail-34e0b2e5-39ca-4205-b811-6fc2ac859582?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Chandigarh Administration Tender,2515/CT/CTU/2021 - E-tender For The Allotment Of Shop No 42-43 At Isbt - 17 Chandigarh,"Chandigarh, Chandigarh",19 Apr 2021,30 Apr 2021,Refer Documents,https://bidassist.com/all-tenders/chandigarh-administration/detail-ec5b2413-b804-47e2-8906-9b138ebc0d1f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Irrigation Department - UPMID Tender,"MI/2020-21/LI/WORK_INDENT31698/CALL-2 - Replacement Of Suction Pipe & Delivery To Jalihal Lis In Ballari Taluk And Dist.,","Ballari, Karnataka",26 Apr 2021,04 May 2021,₹ 5.2 Lac,https://bidassist.com/all-tenders/irrigation-department/detail-a9dccca1-7221-4382-9033-c97634602faa?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Municipality - CDMA Tender,"E1/363/MCT/2020-21 - Laying Of 110mm &75mm Dia Hdpe Pipe From H.no: 13/143/3/e To H.no: 13-212/4/1/a In 6th Ward,toopran Municipality,medak-dist.",Telangana,24 Apr 2021,30 Apr 2021,₹ 4.1 Lac,https://bidassist.com/all-tenders/municipality/detail-38384b48-549e-42b6-8ffb-a87408689d6f?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
Malabar Cements Limited - MCL Tender,"MCL/CPT-D E P R/03/2021 - Consultancy Service For Design, Engineering And Supervision For Setting Up 0.3 Mtpa (1000 Tpd) Bulk Cement Terminal And Allied Material Handling And Logistics Hub At Cochin Port Trust For Malabar Cements Limited","Palakkad, Kerala",15 Apr 2021,06 May 2021,Refer Documents,https://bidassist.com/all-tenders/malabar-cements-limited/detail-7042c126-3c4b-49fb-b6aa-1b364bbe9aa3?keywords=cafeteria%2Cfood%2Ccanteen%2Cmicronutrient%2Cmid-day%20meal
